Tweet	Task A 	Task B	Task C
People are being lynched & killed, but the PM is silent	HOF	HATE	TIN
13 years of Modi rule, not 2 years of Anandiben are responsible for Gujarat burning. Sacrificing the scapegoat won't save the BJP	HOF	HATE	TIN
#ShameOnICC 1. ICC on Dhoni's gloves Vs 2.ICC planning the World Cup https://t.co/4kO3zKt7ln	HOF	HATE	TIN
Disgusting! And they don’t change their culture or come up with vetting system or preventative ways to stop this from occurring. This will continue to happen. The Catholic Church needs to go! #rapist #ChildTrafficking #CatholicChurch #CatholicTwitter https://t.co/tb4tSoD2Lz	HOF	HATE	TIN
@TheRealOJ32 Of all the retired NFL players, why is it that you DON’T suffer from CTE? You should be at the bottom of a pool you mistook for an elevator. #murderer	HOF	HATE	TIN
15 miners have been struggling for air in a flooded coal mine for two weeks.   Meanwhile, PM struts about on Bogibeel Bridge posing for cameras.   His government refuses to organise high pressure pumps for the rescue.   PM please save the miners.	HOF	HATE	TIN
Asking questions is what discomforts this govt the most, for they have no answers':At the CWC meeting this morning with senior colleagues	HOF	HATE	TIN
#Progressive Group Wants Dems to #Investigate Kavanaugh for #Perjury #GangRapes #ChristineBlaseyFord #BrettKavanaugh #Rape #Rapist #BrettKavanaughRapist https://t.co/ZBGkZDfElG	HOF	HATE	TIN
@flotus would be better off with this: https://t.co/zkaMjVocgh @orgasmicize #pornhub #firstladydoesdallas #freeblowjobs #fucktrump #classy #resist #TrumpTantrum #JackieO #lookmomnohands #skillsandthrills #voteblue #deepthroatchampion #Disneyland https://t.co/AuuNQ02TrF	HOF	HATE	TIN
Farewell #SarahHuckabeeSanders! Your lies for the asshole POTUS Will NEVER be missed. #GladYourGone #FuckTrump	HOF	HATE	TIN
Beti Bachao-Beti Padhao   A new special education bulletin for Indian women. Don’t ask questions if a BJP MLA is accused of having raped you.	HOF	HATE	TIN
BJP ke sare Chowkidar Chor Hai.   NoMo Arun Jaitley Rajnath Singh 	HOF	OFFN	TIN
oval office moron. &lt;heavy sigh&gt; #fucktrump https://t.co/modDhxOL5X	HOF	HATE	TIN
@ashwaqM Should be hanged to death. #Rapist	HOF	HATE	TIN
Dear ICC, please don't forget that BCCI is your father.....    So,mind on your business....    Do better umpiring....    #DhoniKeepsTheGlove https://t.co/t1vd3yWDbM	HOF	HATE	TIN
#ShameOnICC for organising such an important tournament at such a time when half of the matches are getting washed away...... https://t.co/rYwp6ORTPk	HOF	HATE	TIN
By leaking information on the RAFALE MOU in advance to Anil Ambani, the PM has broken the Official Secrets Act and compromised National Security, opening himself up to criminal prosecution.	HOF	HATE	TIN
